Voltage,PWM,Up1,Down1,Up2,Down2,Up3,Down3,Average
6.3,244,340,339,340,339,340,339,339.5
6.3,245,339,338,339,338,339,338,338.5
6.3,246,338,337,338,337,338,337,337.5
6.3,247,337,336,337,336,336,336,336.33
6.3,248,336,335,336,335,337,336,335.83
6.3,249,335,335,335,335,336,335,335.17
6.3,250,334,334,335,334,335,334,334.33
6.3,251,334,333,334,333,334,333,333.5
6.3,252,333,332,332,332,333,332,332.33
6.3,253,332,332,332,331,332,331,331.67
6.3,254,331,330,331,331,331,331,330.83
6.3,255,330,330,330,330,330,330,330.0
